sub_field,name,changepoint,avg_before,avg_after,change_pct,likely_cause,field,date
cs.CL,Computation & Language (NLP),April 2019,42.1,1073.0,2446.2,BERT / GPT-1 released,cs,2019-04-01
physics.app-ph,Applied Physics,April 2019,78.0,232.5,197.9,First image of a black hole released,physics,2019-04-01
math.PR,Probability,May 2019,129.2,348.0,169.4,Neural tangent kernel - maths of deep learning,math,2019-05-01
eess.SY,Systems and Control,July 2019,66.6,433.6,551.5,WaveNet and neural audio synthesis,eess,2019-07-01
math.OC,Optimisation and Control,August 2019,86.7,473.0,445.4,Neural tangent kernel - maths of deep learning,math,2019-08-01
math.CO,Combinatorics,October 2019,125.9,446.5,254.5,Neural tangent kernel - maths of deep learning,math,2019-10-01
cs.CR,Cryptography & Security,December 2019,51.1,439.3,759.5,BERT / GPT-1 released,cs,2019-12-01
eess.AS,Audio and Speech Processing,December 2019,50.9,248.4,387.9,WaveNet and neural audio synthesis,eess,2019-12-01
stat.ME,Methodology,March 2020,78.5,294.0,274.4,COVID-19 - statistics in global spotlight,stat,2020-03-01
cs.AI,Artificial Intelligence,September 2020,83.0,2047.4,2367.2,COVID-19 research surge,cs,2020-09-01
math.NA,Numerical Analysis,October 2020,83.7,367.8,339.2,COVID-19 - mathematical modelling surge,math,2020-10-01
stat.ML,Machine Learning,December 2020,274.4,464.3,69.2,COVID-19 - statistics in global spotlight,stat,2020-12-01
cs.RO,Robotics,January 2023,97.6,721.2,639.2,GPT-4 / Generative AI boom,cs,2023-01-01
cs.LG,Machine Learning,January 2023,451.9,3300.1,630.3,GPT-4 / Generative AI boom,cs,2023-01-01
cs.CR,Cryptography & Security,April 2023,91.3,562.0,515.9,GPT-4 / Generative AI boom,cs,2023-04-01
eess.SY,Systems and Control,September 2023,150.5,546.2,262.8,Large multimodal models boom,eess,2023-09-01
