sub_field,name,changepoint,avg_before,avg_after,change_pct,likely_cause
physics.data-an,Data Analysis and Statistics,September 2005,7.3,44.1,507.7,Unknown
physics.data-an,Data Analysis and Statistics,September 2010,14.5,49.4,241.3,Large Hadron Collider operations begin
physics.data-an,Data Analysis and Statistics,January 2019,24.4,58.9,141.0,First image of a black hole released
physics.comp-ph,Computational Physics,August 2009,15.5,125.8,713.1,Large Hadron Collider operations begin
physics.comp-ph,Computational Physics,December 2017,35.3,187.4,430.8,Gravitational waves confirmed - Nobel Prize
physics.app-ph,Applied Physics,March 2017,1.2,212.0,17841.7,Gravitational waves confirmed - Nobel Prize
physics.app-ph,Applied Physics,April 2019,78.0,232.5,197.9,First image of a black hole released
