Year,Category,Subcategory Code,Subcategory Name,Document Count,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10
2019,Computer Science,cs.LG,Machine Learning,19293,learning,neural,deep,training,networks,network,methods,performance,propose,prediction
2020,Computer Science,cs.LG,Machine Learning,25889,learning,neural,network,performance,networks,training,graph,detection,methods,algorithm
2021,Computer Science,cs.LG,Machine Learning,26532,learning,training,performance,neural,networks,graph,propose,domain,methods,network
2022,Computer Science,cs.LG,Machine Learning,28721,learning,methods,deep,training,propose,networks,neural,performance,machine,detection
2023,Computer Science,cs.LG,Machine Learning,33020,learning,performance,neural,propose,methods,framework,demonstrate,network,deep,graph
2024,Computer Science,cs.LG,Machine Learning,39785,learning,graph,performance,methods,classification,time,network,neural,machine,novel
2025,Computer Science,cs.LG,Machine Learning,46000,learning,methods,networks,performance,neural,time,training,analysis,datasets,framework
2026,Computer Science,cs.LG,Machine Learning,11049,learning,training,methods,framework,across,time,performance,prediction,propose,inference
2015,Computer Science,cs.LO,Logic in Computer Science,856,logic,systems,linear,proof,order,semantics,program,proofs,probabilistic,calculus
2016,Computer Science,cs.LO,Logic in Computer Science,942,logic,systems,theory,semantics,language,knowledge,type,checking,linear,system
2017,Computer Science,cs.LO,Logic in Computer Science,1042,logic,semantics,theory,systems,system,order,verification,linear,proof,some
2018,Computer Science,cs.LO,Logic in Computer Science,1078,logic,theory,systems,time,order,learning,proof,semantics,logical,algorithm
2019,Computer Science,cs.LO,Logic in Computer Science,1224,logic,theory,order,system,programs,calculus,semantics,time,state,systems
2020,Computer Science,cs.LO,Logic in Computer Science,1257,logic,system,state,some,programs,systems,framework,reasoning,order,theory
2021,Computer Science,cs.LO,Logic in Computer Science,1327,logic,systems,semantics,proof,system,theory,order,complete,finite,types
2022,Computer Science,cs.LO,Logic in Computer Science,1222,logic,system,systems,proof,theory,order,type,time,verification,monoidal
2023,Computer Science,cs.LO,Logic in Computer Science,1473,logic,theory,systems,semantics,system,reasoning,linear,probabilistic,proof,algorithm
2024,Computer Science,cs.LO,Logic in Computer Science,1441,logic,systems,verification,properties,language,linear,theory,time,logics,logical
2025,Computer Science,cs.LO,Logic in Computer Science,1656,logic,proof,system,calculus,order,systems,reasoning,verification,complexity,properties
2026,Computer Science,cs.LO,Logic in Computer Science,416,logic,order,theory,semantics,proof,logical,reasoning,theorem,framework,type
2015,Computer Science,cs.MS,Mathematical Software,133,algorithm,algorithms,performance,implementation,library,parallel,matrix,software,time,code
2016,Computer Science,cs.MS,Mathematical Software,138,performance,algorithm,matrix,implementation,algorithms,parallel,methods,software,package,memory
2017,Computer Science,cs.MS,Mathematical Software,133,performance,matrix,implementation,tensor,library,algorithm,code,parallel,algorithms,linear
2018,Computer Science,cs.MS,Mathematical Software,145,performance,algorithm,code,problems,sparse,implementation,library,matrix,memory,efficient
2019,Computer Science,cs.MS,Mathematical Software,154,performance,matrix,parallel,software,methods,algorithms,problems,linear,framework,code
2020,Computer Science,cs.MS,Mathematical Software,192,performance,library,matrix,linear,parallel,algorithm,problems,systems,implementation,precision
2021,Computer Science,cs.MS,Mathematical Software,232,performance,library,algorithms,implementation,numerical,methods,learning,code,problems,systems
2022,Computer Science,cs.MS,Mathematical Software,167,methods,optimization,problems,performance,linear,algorithms,time,matrix,analysis,computational
2023,Computer Science,cs.MS,Mathematical Software,174,methods,performance,algorithms,matrix,code,problems,optimization,linear,package,numerical
2024,Computer Science,cs.MS,Mathematical Software,187,algorithm,optimization,sparse,software,methods,linear,learning,performance,tensor,matrix
2025,Computer Science,cs.MS,Mathematical Software,208,matrix,performance,optimization,methods,algorithms,problems,algorithm,computational,framework,package
2026,Computer Science,cs.MS,Mathematical Software,50,tensor,methods,performance,framework,numerical,systems,computational,optimization,analysis,order
2015,Computer Science,cs.MA,Multiagent Systems,167,agent,agents,control,systems,time,system,social,multi,algorithm,networks
2016,Computer Science,cs.MA,Multiagent Systems,235,agent,agents,systems,multi,system,simulation,network,information,time,distributed
2017,Computer Science,cs.MA,Multiagent Systems,323,agent,agents,learning,multi,social,time,network,distributed,system,control
2018,Computer Science,cs.MA,Multiagent Systems,463,agent,agents,learning,multi,systems,algorithm,system,time,algorithms,dynamics
2019,Computer Science,cs.MA,Multiagent Systems,730,learning,agent,agents,multi,network,algorithm,reinforcement,information,time,state
2020,Computer Science,cs.MA,Multiagent Systems,931,agent,agents,multi,learning,time,algorithm,reinforcement,performance,communication,information
2021,Computer Science,cs.MA,Multiagent Systems,959,agent,agents,multi,learning,network,systems,information,communication,distributed,algorithm
2022,Computer Science,cs.MA,Multiagent Systems,1038,agent,agents,learning,multi,algorithm,communication,systems,reinforcement,time,control
2023,Computer Science,cs.MA,Multiagent Systems,1201,agent,agents,multi,learning,systems,algorithm,communication,framework,time,reinforcement
2024,Computer Science,cs.MA,Multiagent Systems,1401,agent,learning,multi,agents,reinforcement,algorithm,framework,network,algorithms,simulation
2025,Computer Science,cs.MA,Multiagent Systems,2430,agent,agents,multi,learning,framework,systems,language,system,communication,time
2026,Computer Science,cs.MA,Multiagent Systems,638,agent,multi,agents,framework,learning,across,systems,reasoning,performance,system
2015,Computer Science,cs.MM,Multimedia,199,video,image,content,network,multimedia,information,quality,visual,propose,detection
2016,Computer Science,cs.MM,Multimedia,261,video,image,images,quality,content,performance,learning,methods,audio,network
2017,Computer Science,cs.MM,Multimedia,330,video,image,network,images,propose,features,quality,learning,analysis,system
2018,Computer Science,cs.MM,Multimedia,378,video,image,visual,learning,images,network,methods,quality,propose,performance
2019,Computer Science,cs.MM,Multimedia,515,image,video,images,quality,learning,visual,network,performance,audio,multi
2020,Computer Science,cs.MM,Multimedia,640,image,video,learning,images,features,methods,deep,visual,dataset,recognition
2021,Computer Science,cs.MM,Multimedia,722,video,image,learning,network,features,methods,propose,quality,training,visual
2022,Computer Science,cs.MM,Multimedia,926,video,audio,visual,learning,image,information,features,methods,quality,text
2023,Computer Science,cs.MM,Multimedia,1185,video,learning,image,visual,text,audio,propose,quality,multi,features
2024,Computer Science,cs.MM,Multimedia,1454,video,audio,visual,text,image,multi,quality,methods,modal,multimodal
2025,Computer Science,cs.MM,Multimedia,1559,video,language,visual,audio,image,framework,performance,multi,multimodal,generation
2026,Computer Science,cs.MM,Multimedia,291,video,audio,quality,framework,multimodal,generation,reasoning,visual,across,multi
2015,Computer Science,cs.NI,Networking & Internet Architecture,1063,network,networks,wireless,performance,energy,nodes,traffic,mobile,time,cellular
2016,Computer Science,cs.NI,Networking & Internet Architecture,1295,network,networks,wireless,traffic,energy,performance,communication,power,system,interference
2017,Computer Science,cs.NI,Networking & Internet Architecture,1307,network,networks,performance,wireless,power,energy,communication,spectrum,traffic,time
2018,Computer Science,cs.NI,Networking & Internet Architecture,1614,network,networks,wireless,communication,access,performance,time,control,energy,system
2019,Computer Science,cs.NI,Networking & Internet Architecture,1840,network,networks,time,wireless,traffic,communication,system,service,energy,information
2020,Computer Science,cs.NI,Networking & Internet Architecture,2029,network,networks,energy,performance,time,service,control,communication,wireless,traffic
2021,Computer Science,cs.NI,Networking & Internet Architecture,1983,network,networks,learning,performance,communication,system,edge,multi,devices,wireless
2022,Computer Science,cs.NI,Networking & Internet Architecture,1936,network,networks,learning,communication,performance,applications,edge,time,traffic,wireless
2023,Computer Science,cs.NI,Networking & Internet Architecture,2048,network,networks,performance,learning,time,communication,wireless,multi,traffic,resource
2024,Computer Science,cs.NI,Networking & Internet Architecture,2429,network,networks,learning,traffic,communication,performance,applications,system,time,wireless
2025,Computer Science,cs.NI,Networking & Internet Architecture,2724,network,networks,performance,learning,time,framework,system,real,traffic,optimization
2026,Computer Science,cs.NI,Networking & Internet Architecture,597,network,networks,time,learning,framework,performance,across,communication,real,traffic
2015,Computer Science,cs.NE,Neural & Evolutionary Computing,653,neural,learning,networks,network,deep,algorithm,training,optimization,classification,convolutional
2016,Computer Science,cs.NE,Neural & Evolutionary Computing,870,neural,learning,networks,deep,network,time,methods,training,classification,machine
2017,Computer Science,cs.NE,Neural & Evolutionary Computing,1023,networks,neural,learning,network,deep,algorithm,algorithms,classification,performance,training
2018,Computer Science,cs.NE,Neural & Evolutionary Computing,1208,learning,neural,networks,network,deep,algorithm,memory,optimization,training,algorithms
2019,Computer Science,cs.NE,Neural & Evolutionary Computing,1479,neural,networks,learning,deep,network,training,algorithm,performance,algorithms,search
2020,Computer Science,cs.NE,Neural & Evolutionary Computing,1751,learning,neural,networks,network,performance,deep,algorithm,optimization,algorithms,time
2021,Computer Science,cs.NE,Neural & Evolutionary Computing,1427,neural,learning,networks,network,training,optimization,performance,algorithms,problems,algorithm
2022,Computer Science,cs.NE,Neural & Evolutionary Computing,1514,learning,neural,networks,network,performance,algorithms,algorithm,training,system,spiking
2023,Computer Science,cs.NE,Neural & Evolutionary Computing,1570,learning,neural,algorithm,networks,optimization,network,performance,training,time,algorithms
2024,Computer Science,cs.NE,Neural & Evolutionary Computing,1855,neural,networks,optimization,learning,algorithm,performance,network,algorithms,training,spiking
2025,Computer Science,cs.NE,Neural & Evolutionary Computing,1612,neural,networks,learning,optimization,performance,network,algorithm,framework,time,algorithms
2026,Computer Science,cs.NE,Neural & Evolutionary Computing,362,optimization,neural,networks,learning,performance,framework,algorithm,evolutionary,training,across
2015,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2016,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2017,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2018,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2019,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2020,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2021,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2022,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2023,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2024,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2025,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2026,Computer Science,cs.NA,Numerical Analysis,0,,,,,,,,,,
2015,Computer Science,cs.OS,Operating Systems,37,time,systems,scheduling,real,system,performance,operating,memory,applications,lustre
2016,Computer Science,cs.OS,Operating Systems,33,system,windows,memory,time,performance,applications,level,operating,virtualization,devices
2017,Computer Science,cs.OS,Operating Systems,49,memory,system,systems,performance,time,storage,real,devices,tasks,applications
2018,Computer Science,cs.OS,Operating Systems,53,time,system,systems,performance,memory,operating,real,applications,kernel,design
2019,Computer Science,cs.OS,Operating Systems,90,system,performance,memory,time,systems,applications,kernel,hardware,file,security
2020,Computer Science,cs.OS,Operating Systems,91,memory,system,systems,performance,applications,scheduling,time,criticality,kernel,hardware
2021,Computer Science,cs.OS,Operating Systems,68,memory,system,performance,systems,time,applications,hardware,kernel,software,devices
2022,Computer Science,cs.OS,Operating Systems,71,memory,system,applications,performance,systems,storage,kernel,hardware,time,software
2023,Computer Science,cs.OS,Operating Systems,116,memory,system,performance,applications,systems,storage,kernel,time,software,hardware
2024,Computer Science,cs.OS,Operating Systems,145,memory,system,performance,systems,applications,kernel,time,management,operating,storage
2025,Computer Science,cs.OS,Operating Systems,224,memory,system,performance,systems,kernel,time,applications,linux,level,hardware
2026,Computer Science,cs.OS,Operating Systems,59,memory,system,time,performance,execution,systems,across,latency,inference,kernel
2015,Computer Science,cs.OH,Other Computer Science,136,system,analysis,algorithm,time,information,design,software,simulation,energy,algorithms
2016,Computer Science,cs.OH,Other Computer Science,119,systems,system,time,analysis,energy,information,research,software,applications,application
2017,Computer Science,cs.OH,Other Computer Science,111,system,time,systems,analysis,design,power,sensor,networks,performance,process
2018,Computer Science,cs.OH,Other Computer Science,106,design,system,routing,standard,time,algorithm,network,information,systems,research
2019,Computer Science,cs.OH,Other Computer Science,122,system,systems,process,research,time,energy,analysis,design,simulations,information
2020,Computer Science,cs.OH,Other Computer Science,0,,,,,,,,,,
2021,Computer Science,cs.OH,Other Computer Science,0,,,,,,,,,,
2022,Computer Science,cs.OH,Other Computer Science,0,,,,,,,,,,
2023,Computer Science,cs.OH,Other Computer Science,0,,,,,,,,,,
2024,Computer Science,cs.OH,Other Computer Science,0,,,,,,,,,,
2025,Computer Science,cs.OH,Other Computer Science,0,,,,,,,,,,
2026,Computer Science,cs.OH,Other Computer Science,0,,,,,,,,,,
2015,Computer Science,cs.PF,Performance,157,performance,time,system,network,systems,energy,networks,analysis,simulation,power
2016,Computer Science,cs.PF,Performance,186,performance,time,network,systems,analysis,system,networks,simulation,algorithm,multi
2017,Computer Science,cs.PF,Performance,222,performance,time,systems,analysis,system,energy,network,networks,optimal,computing
2018,Computer Science,cs.PF,Performance,255,performance,time,system,systems,parallel,computing,hardware,applications,network,learning
2019,Computer Science,cs.PF,Performance,414,performance,time,system,applications,systems,analysis,algorithm,scheduling,application,learning
2020,Computer Science,cs.PF,Performance,446,performance,system,systems,memory,time,analysis,applications,network,hardware,parallel
2021,Computer Science,cs.PF,Performance,410,performance,memory,time,systems,system,network,learning,latency,applications,networks
2022,Computer Science,cs.PF,Performance,350,performance,time,systems,system,learning,memory,computing,algorithms,algorithm,applications
2023,Computer Science,cs.PF,Performance,445,performance,time,system,systems,learning,applications,analysis,training,inference,memory
2024,Computer Science,cs.PF,Performance,471,performance,time,memory,hardware,network,analysis,systems,system,applications,computing
2025,Computer Science,cs.PF,Performance,717,performance,memory,time,system,energy,hardware,analysis,network,framework,latency
2026,Computer Science,cs.PF,Performance,134,performance,memory,time,energy,systems,across,latency,framework,efficiency,inference
2015,Computer Science,cs.PL,Programming Languages,333,language,program,programs,programming,languages,order,semantics,systems,type,code
2016,Computer Science,cs.PL,Programming Languages,418,programming,language,type,programs,program,system,semantics,code,systems,time
2017,Computer Science,cs.PL,Programming Languages,494,language,programming,program,programs,type,system,semantics,analysis,systems,logic
2018,Computer Science,cs.PL,Programming Languages,580,programming,program,programs,language,code,systems,semantics,performance,order,system
2019,Computer Science,cs.PL,Programming Languages,675,programs,language,program,programming,code,type,semantics,logic,types,software
2020,Computer Science,cs.PL,Programming Languages,678,language,programming,programs,code,program,verification,type,implementation,languages,framework
2021,Computer Science,cs.PL,Programming Languages,748,code,language,programming,program,type,programs,types,system,semantics,languages
2022,Computer Science,cs.PL,Programming Languages,715,code,programming,language,program,programs,type,system,performance,systems,learning
2023,Computer Science,cs.PL,Programming Languages,815,programming,code,language,programs,program,languages,analysis,type,system,compiler
2024,Computer Science,cs.PL,Programming Languages,849,code,language,programming,program,programs,verification,software,languages,analysis,types
2025,Computer Science,cs.PL,Programming Languages,1064,code,language,type,performance,programming,programs,program,system,memory,time
2026,Computer Science,cs.PL,Programming Languages,210,code,language,programming,analysis,framework,program,llms,languages,optimization,semantics
2015,Computer Science,cs.RO,Robotics,370,robot,robots,control,system,learning,time,state,algorithm,performance,robotic
2016,Computer Science,cs.RO,Robotics,782,robot,planning,motion,system,control,learning,time,human,robots,algorithm
2017,Computer Science,cs.RO,Robotics,1260,robot,learning,robots,system,control,time,human,motion,real,performance
2018,Computer Science,cs.RO,Robotics,1841,robot,learning,control,robots,tasks,human,system,real,robotic,planning
2019,Computer Science,cs.RO,Robotics,2860,robot,learning,real,control,algorithm,robots,time,robotic,human,environments
2020,Computer Science,cs.RO,Robotics,3972,learning,robot,system,real,human,planning,time,control,autonomous,deep
2021,Computer Science,cs.RO,Robotics,4701,learning,system,robot,tasks,robots,control,autonomous,robotic,propose,object
2022,Computer Science,cs.RO,Robotics,5216,robot,learning,control,real,tasks,human,robots,framework,systems,object
2023,Computer Science,cs.RO,Robotics,6753,robot,learning,system,performance,framework,multi,robots,autonomous,control,human
2024,Computer Science,cs.RO,Robotics,8649,robot,robots,learning,control,real,performance,robotic,autonomous,human,time
2025,Computer Science,cs.RO,Robotics,10562,robot,robots,real,learning,human,framework,control,environments,tasks,methods
2026,Computer Science,cs.RO,Robotics,2803,robot,real,learning,manipulation,control,human,world,framework,multi,vision
2015,Computer Science,cs.SI,Social & Information Networks,1238,networks,social,network,community,users,graph,communities,nodes,structure,random
2016,Computer Science,cs.SI,Social & Information Networks,1312,networks,social,network,graph,users,nodes,media,community,information,online
2017,Computer Science,cs.SI,Social & Information Networks,1382,networks,network,social,information,graph,community,time,detection,structure,methods
2018,Computer Science,cs.SI,Social & Information Networks,1496,networks,social,network,information,graph,news,media,nodes,users,real
2019,Computer Science,cs.SI,Social & Information Networks,1731,network,networks,social,graph,learning,node,information,nodes,community,users
2020,Computer Science,cs.SI,Social & Information Networks,2295,graph,network,social,networks,information,covid,analysis,news,users,node
2021,Computer Science,cs.SI,Social & Information Networks,1880,network,graph,networks,information,social,nodes,node,time,community,learning
2022,Computer Science,cs.SI,Social & Information Networks,1725,network,networks,social,graph,information,learning,community,media,methods,analysis
2023,Computer Science,cs.SI,Social & Information Networks,1878,social,network,networks,graph,media,information,users,learning,analysis,methods
2024,Computer Science,cs.SI,Social & Information Networks,2035,graph,information,social,network,networks,user,content,learning,media,graphs
2025,Computer Science,cs.SI,Social & Information Networks,1842,social,networks,network,graph,learning,analysis,framework,real,media,influence
2026,Computer Science,cs.SI,Social & Information Networks,370,social,networks,network,graph,media,online,across,community,dynamics,agents
2015,Computer Science,cs.SE,Software Engineering,489,software,process,code,development,systems,system,time,analysis,framework,business
2016,Computer Science,cs.SE,Software Engineering,537,software,code,development,requirements,systems,system,analysis,language,engineering,program
2017,Computer Science,cs.SE,Software Engineering,773,software,systems,development,analysis,system,research,design,learning,code,applications
2018,Computer Science,cs.SE,Software Engineering,1014,software,code,systems,test,development,tools,process,testing,analysis,source
2019,Computer Science,cs.SE,Software Engineering,1187,software,code,test,systems,research,analysis,development,learning,testing,engineering
2020,Computer Science,cs.SE,Software Engineering,1520,software,code,research,development,engineering,system,developers,process,testing,systems
2021,Computer Science,cs.SE,Software Engineering,2165,code,software,systems,developers,system,test,learning,development,research,source
2022,Computer Science,cs.SE,Software Engineering,1990,code,software,testing,test,systems,system,learning,source,research,developers
2023,Computer Science,cs.SE,Software Engineering,2716,software,code,development,systems,testing,analysis,learning,system,developers,test
2024,Computer Science,cs.SE,Software Engineering,3690,software,code,source,analysis,development,systems,language,developers,engineering,open
2025,Computer Science,cs.SE,Software Engineering,5183,code,software,llms,language,generation,development,engineering,systems,framework,analysis
2026,Computer Science,cs.SE,Software Engineering,1373,code,software,test,language,llms,real,agent,generation,engineering,agents
2015,Computer Science,cs.SD,Sound,132,speech,audio,features,acoustic,performance,algorithm,signal,noise,time,system
2016,Computer Science,cs.SD,Sound,301,audio,speech,recognition,time,speaker,sound,system,acoustic,learning,music
2017,Computer Science,cs.SD,Sound,446,speech,music,audio,deep,neural,training,network,learning,networks,features
2018,Computer Science,cs.SD,Sound,838,speech,audio,speaker,neural,recognition,features,system,training,deep,acoustic
2019,Computer Science,cs.SD,Sound,1252,speech,audio,recognition,performance,speaker,learning,network,neural,training,deep
2020,Computer Science,cs.SD,Sound,1897,speech,speaker,performance,training,recognition,audio,learning,voice,dataset,deep
2021,Computer Science,cs.SD,Sound,2210,speech,speaker,audio,learning,performance,multi,training,recognition,neural,acoustic
2022,Computer Science,cs.SD,Sound,2681,speech,audio,speaker,performance,recognition,learning,training,propose,text,information
2023,Computer Science,cs.SD,Sound,2754,speech,audio,text,speaker,recognition,music,training,performance,propose,acoustic
2024,Computer Science,cs.SD,Sound,3160,speech,audio,training,speaker,performance,learning,propose,information,recognition,methods
2025,Computer Science,cs.SD,Sound,3476,audio,speech,music,generation,quality,text,systems,language,methods,dataset
2026,Computer Science,cs.SD,Sound,789,audio,speech,language,framework,acoustic,performance,recognition,music,across,generation
2015,Computer Science,cs.SC,Symbolic Computation,91,algorithm,polynomial,polynomials,systems,algebraic,degree,linear,differential,algorithms,matrix
2016,Computer Science,cs.SC,Symbolic Computation,133,algorithm,polynomial,algorithms,algebraic,matrix,polynomials,equations,computing,linear,number
2017,Computer Science,cs.SC,Symbolic Computation,138,algorithm,polynomial,algorithms,systems,polynomials,linear,finite,degree,rational,given
2018,Computer Science,cs.SC,Symbolic Computation,152,algorithm,algorithms,polynomial,polynomials,algebraic,linear,computing,systems,complexity,algebra
2019,Computer Science,cs.SC,Symbolic Computation,174,algorithm,algorithms,polynomial,systems,linear,number,polynomials,equations,methods,symbolic
2020,Computer Science,cs.SC,Symbolic Computation,214,polynomial,algorithm,algorithms,systems,linear,system,algebraic,learning,differential,real
2021,Computer Science,cs.SC,Symbolic Computation,186,algorithm,systems,polynomial,symbolic,system,methods,computation,algorithms,functions,equations
2022,Computer Science,cs.SC,Symbolic Computation,209,polynomial,algorithm,symbolic,systems,differential,package,matrix,computing,functions,algorithms
2023,Computer Science,cs.SC,Symbolic Computation,229,symbolic,algorithm,polynomial,knowledge,systems,functions,linear,algebraic,learning,algorithms
2024,Computer Science,cs.SC,Symbolic Computation,264,algorithm,symbolic,learning,systems,algebraic,polynomial,algorithms,computing,methods,system
2025,Computer Science,cs.SC,Symbolic Computation,290,algorithm,symbolic,polynomial,systems,matrix,algorithms,time,linear,learning,algebraic
2026,Computer Science,cs.SC,Symbolic Computation,83,symbolic,algorithm,algebraic,equations,framework,polynomial,system,algorithms,systems,differential
2015,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2016,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2017,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2018,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2019,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2020,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2021,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2022,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2023,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2024,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2025,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2026,Computer Science,cs.SY,Systems & Control,0,,,,,,,,,,
2015,Statistics,stat.AP,Applications,806,time,analysis,regression,methods,test,bayesian,random,process,estimation,distribution
2016,Statistics,stat.AP,Applications,952,methods,analysis,time,regression,missing,bayesian,test,functional,estimation,propose
2017,Statistics,stat.AP,Applications,1127,analysis,time,bayesian,distribution,methods,estimation,statistical,sample,regression,algorithm
2018,Statistics,stat.AP,Applications,1322,methods,distribution,time,bayesian,analysis,effect,effects,estimation,random,number
2019,Statistics,stat.AP,Applications,1723,time,analysis,methods,bayesian,performance,effect,treatment,random,risk,network
2020,Statistics,stat.AP,Applications,2195,covid,analysis,methods,regression,time,learning,bayesian,level,propose,power
2021,Statistics,stat.AP,Applications,2015,analysis,methods,time,bayesian,distribution,regression,framework,spatial,treatment,case
2022,Statistics,stat.AP,Applications,1940,time,system,analysis,network,methods,learning,treatment,statistical,modeling,prediction
2023,Statistics,stat.AP,Applications,2000,analysis,time,methods,framework,risk,performance,design,statistical,research,information
2024,Statistics,stat.AP,Applications,2180,analysis,time,methods,risk,estimation,studies,research,framework,learning,real
2025,Statistics,stat.AP,Applications,2577,time,analysis,framework,methods,network,performance,distribution,effects,real,sample
2026,Statistics,stat.AP,Applications,551,framework,time,bayesian,performance,methods,analysis,across,health,effects,estimation
2015,Statistics,stat.CO,Computation,500,algorithm,methods,algorithms,time,bayesian,estimation,likelihood,sampling,posterior,density
2016,Statistics,stat.CO,Computation,457,methods,algorithm,monte,carlo,inference,estimation,time,sampling,distribution,bayesian
2017,Statistics,stat.CO,Computation,603,bayesian,algorithm,time,methods,algorithms,inference,sampling,random,estimation,monte
2018,Statistics,stat.CO,Computation,578,algorithm,bayesian,methods,inference,time,algorithms,estimation,regression,sampling,monte
2019,Statistics,stat.CO,Computation,731,algorithm,methods,bayesian,distribution,time,estimation,parameters,sampling,dimensional,algorithms
2020,Statistics,stat.CO,Computation,861,methods,algorithm,package,bayesian,inference,algorithms,distribution,state,sampling,time
2021,Statistics,stat.CO,Computation,842,algorithm,algorithms,methods,bayesian,time,sampling,monte,carlo,inference,distributions
2022,Statistics,stat.CO,Computation,831,algorithm,methods,estimation,bayesian,distribution,inference,random,monte,carlo,sampling
2023,Statistics,stat.CO,Computation,741,methods,time,bayesian,inference,distribution,likelihood,algorithm,estimation,parameters,monte
2024,Statistics,stat.CO,Computation,943,methods,distribution,monte,carlo,bayesian,algorithm,inference,estimation,distributions,package
2025,Statistics,stat.CO,Computation,1003,methods,time,bayesian,framework,estimation,analysis,algorithm,sampling,inference,monte
2026,Statistics,stat.CO,Computation,234,estimation,framework,inference,bayesian,methods,regression,linear,gaussian,algorithm,sampling
2015,Statistics,stat.ME,Methodology,1271,analysis,methods,time,estimation,distribution,linear,dimensional,sample,test,matrix
2016,Statistics,stat.ME,Methodology,1414,methods,analysis,time,estimation,distribution,sample,regression,random,functional,inference
2017,Statistics,stat.ME,Methodology,1679,analysis,estimation,methods,sample,dimensional,gaussian,propose,number,distribution,time
2018,Statistics,stat.ME,Methodology,1776,time,methods,regression,bayesian,analysis,propose,inference,estimation,distribution,effects
2019,Statistics,stat.ME,Methodology,2173,methods,analysis,bayesian,distribution,estimation,regression,effects,time,propose,number
2020,Statistics,stat.ME,Methodology,2818,methods,regression,time,propose,estimation,studies,analysis,test,sample,bayesian
2021,Statistics,stat.ME,Methodology,3015,methods,analysis,propose,treatment,inference,test,estimation,bayesian,studies,regression
2022,Statistics,stat.ME,Methodology,3235,time,methods,estimation,treatment,effects,causal,propose,bayesian,inference,algorithm
2023,Statistics,stat.ME,Methodology,3486,distribution,regression,causal,estimation,time,function,methods,propose,analysis,effect
2024,Statistics,stat.ME,Methodology,3894,methods,estimation,time,regression,treatment,analysis,inference,sample,selection,propose
2025,Statistics,stat.ME,Methodology,4498,treatment,analysis,methods,estimation,causal,framework,regression,time,bayesian,inference
2026,Statistics,stat.ME,Methodology,1100,inference,estimation,framework,regression,methods,studies,causal,effects,sample,distribution
2015,Statistics,stat.ML,Machine Learning,1823,learning,algorithm,linear,methods,algorithms,inference,propose,kernel,local,random
2016,Statistics,stat.ML,Machine Learning,2643,learning,methods,algorithm,neural,propose,features,training,classification,analysis,machine
2017,Statistics,stat.ML,Machine Learning,4052,learning,methods,networks,performance,algorithm,network,time,deep,propose,algorithms
2018,Statistics,stat.ML,Machine Learning,8396,learning,deep,methods,neural,network,networks,performance,tasks,clustering,information
2019,Statistics,stat.ML,Machine Learning,12751,learning,neural,deep,classification,training,networks,propose,performance,network,methods
2020,Statistics,stat.ML,Machine Learning,12768,learning,neural,training,networks,propose,methods,time,framework,performance,graph
2021,Statistics,stat.ML,Machine Learning,5228,learning,algorithms,propose,algorithm,function,methods,training,networks,graph,neural
2022,Statistics,stat.ML,Machine Learning,4989,learning,algorithm,methods,neural,networks,training,time,propose,optimization,network
2023,Statistics,stat.ML,Machine Learning,5332,learning,neural,networks,distribution,gradient,regression,time,methods,propose,optimization
2024,Statistics,stat.ML,Machine Learning,5908,learning,methods,training,distribution,analysis,algorithm,propose,performance,causal,estimation
2025,Statistics,stat.ML,Machine Learning,6391,learning,methods,framework,performance,neural,distribution,time,algorithm,networks,training
2026,Statistics,stat.ML,Machine Learning,1442,learning,framework,distribution,time,training,across,inference,uncertainty,methods,performance
2015,Statistics,stat.OT,Other Statistics,75,statistics,statistical,research,distribution,analysis,methods,university,science,probability,information
2016,Statistics,stat.OT,Other Statistics,70,statistics,process,science,statistical,analysis,distribution,procedure,probability,some,testing
2017,Statistics,stat.OT,Other Statistics,95,analysis,statistical,statistics,learning,students,science,distribution,probability,estimation,random
2018,Statistics,stat.OT,Other Statistics,108,statistical,analysis,time,probability,distribution,methods,statistics,scientific,science,algorithm
