Year,Category,Subcategory Code,Subcategory Name,Document Count,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10
2022,Computer Science,cs.CY,Computers & Society,2223,learning,information,systems,research,social,students,they,bias,analysis,media
2023,Computer Science,cs.CY,Computers & Society,3090,learning,research,social,systems,bias,fairness,online,analysis,media,students
2024,Computer Science,cs.CY,Computers & Society,4122,learning,performance,fairness,research,language,information,systems,students,time,analysis
2025,Computer Science,cs.CY,Computers & Society,5080,systems,language,human,llms,framework,intelligence,critical,research,social,ethical
2026,Computer Science,cs.CY,Computers & Society,1110,systems,human,llms,safety,social,design,across,framework,support,language
2015,Computer Science,cs.CR,Cryptography & Security,853,security,attacks,system,privacy,information,protocol,user,protocols,systems,detection
2016,Computer Science,cs.CR,Cryptography & Security,1042,security,privacy,information,system,systems,malware,attack,detection,attacks,network
2017,Computer Science,cs.CR,Cryptography & Security,1484,privacy,security,quantum,attacks,analysis,adversarial,system,scheme,information,network
2018,Computer Science,cs.CR,Cryptography & Security,2269,security,privacy,information,attacks,systems,analysis,network,cloud,devices,system
2019,Computer Science,cs.CR,Cryptography & Security,3015,security,attacks,information,attack,privacy,adversarial,network,networks,learning,propose
2020,Computer Science,cs.CR,Cryptography & Security,3702,privacy,security,attacks,attack,system,learning,systems,network,detection,applications
2021,Computer Science,cs.CR,Cryptography & Security,3993,security,learning,privacy,attacks,detection,information,attack,quantum,system,network
2022,Computer Science,cs.CR,Cryptography & Security,4512,privacy,learning,attacks,attack,security,detection,training,system,private,adversarial
2023,Computer Science,cs.CR,Cryptography & Security,5185,security,attacks,learning,privacy,adversarial,systems,attack,detection,system,software
2024,Computer Science,cs.CR,Cryptography & Security,6545,privacy,attacks,learning,security,techniques,network,systems,information,adversarial,attack
2025,Computer Science,cs.CR,Cryptography & Security,7909,attacks,security,privacy,systems,detection,learning,network,analysis,quantum,adversarial
2026,Computer Science,cs.CR,Cryptography & Security,1823,security,privacy,attacks,attack,across,detection,systems,performance,framework,agent
2015,Computer Science,cs.DS,Data Structures & Algorithms,1340,algorithm,graph,time,algorithms,graphs,number,problems,given,approximation,size
